index,x,y,snippet,href
1000,2210.638,18.011,a,textedit:///work/_2/m067_078.ly:5:58:59
1001,2213.392,32.15,"a,",textedit:///work/_2/m067_078.ly:23:16:17
1002,2213.392,17.011,cis',textedit:///work/_2/m067_078.ly:5:67:68
1003,2216.316,18.011,a,textedit:///work/_2/m067_078.ly:5:76:77
1004,2219.307,32.15,"a,",textedit:///work/_2/m067_078.ly:23:20:21
1005,2219.307,17.011,cis',textedit:///work/_2/m067_078.ly:5:87:88
1006,2222.709,18.011,a,textedit:///work/_2/m067_078.ly:5:98:99
1007,2225.463,32.15,"a,",textedit:///work/_2/m067_078.ly:23:24:25
1008,2225.463,17.011,cis',textedit:///work/_2/m067_078.ly:5:107:108
1009,2228.387,18.011,a,textedit:///work/_2/m067_078.ly:5:116:117
